"ID","name","position","method","timestamp","comment"
NA,"Manual",NA,"./Methods/Method-GC_ManualInj.met","2022-01-10 13:25:44",NA
NA,"Manual",NA,"./Methods/Method-GC_ManualInj.met","2022-01-10 13:36:15",NA
NA,"Manual",NA,"./Methods/Method-GC_ManualInj.met","2022-01-10 13:54:21",NA
NA,"Manual",NA,"./Methods/Method-GC_ManualInj.met","2022-01-10 14:14:16",NA
NA,"N2-Normal-1",1001,"./Methods/Method-GC_2ml_Overpressure.met","2022-01-10 14:26:36",NA
NA,"N2-Normal-2",1002,"./Methods/Method-GC_2ml_Overpressure.met","2022-01-10 14:38:48",NA
NA,"N2-Normal-3",1003,"./Methods/Method-GC_2ml_Overpressure.met","2022-01-10 14:50:58",NA
NA,"N2-Normal-3",1004,"./Methods/Method-GC_2ml_Overpressure.met","2022-01-10 15:03:10",NA
NA,"N2-FastXYZ-1",1005,"./Methods/Method-GC_2ml_Overpressure_FastXYZ.met","2022-01-10 15:14:19",NA
NA,"N2-FastXYZ-2",1006,"./Methods/Method-GC_2ml_Overpressure_FastXYZ.met","2022-01-10 15:25:30",NA
NA,"N2-FastXYZ-3",1007,"./Methods/Method-GC_2ml_Overpressure_FastXYZ.met","2022-01-10 15:36:42",NA
NA,"N2-FastXYZ-3",1008,"./Methods/Method-GC_2ml_Overpressure_FastXYZ.met","2022-01-10 15:47:54",NA
NA,"N2-SlowE-1",1009,"./Methods/Method-GC_2ml_Overpressure_SlowE.met","2022-01-10 16:00:28",NA
NA,"N2-SlowE-1",1010,"./Methods/Method-GC_2ml_Overpressure_SlowE.met","2022-01-10 16:13:02",NA
NA,"N2-SlowE-1",1011,"./Methods/Method-GC_2ml_Overpressure_SlowE.met","2022-01-10 16:25:37",NA
NA,"N2-SlowE-1",1012,"./Methods/Method-GC_2ml_Overpressure_SlowE.met",NA,NA
NA,"N2-NoMix-1",1013,"./Methods/Method-GC_2ml_Overpressure_NoMix.met",NA,NA
NA,"N2-NoMix-1",1014,"./Methods/Method-GC_2ml_Overpressure_NoMix.met",NA,NA
NA,"N2-NoMix-1",1015,"./Methods/Method-GC_2ml_Overpressure_NoMix.met",NA,NA
NA,"N2-NoMix-1",1016,"./Methods/Method-GC_2ml_Overpressure_NoMix.met",NA,NA
