ID,name,position,method,timestamp,comment
STD-L-6,STD-L-6,1001,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 9:26,NA
STD-L-7,STD-L-7,1002,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 9:54,NA
STD-L-8,STD-L-8,1003,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 10:17,NA
N2,N2,1004,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 10:41,NA
PK261n-1-3B 60,PK261n-1-3B 60,1029,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 11:04,NA
PK261n-1-3C 60,PK261n-1-3C 60,1030,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 11:27,NA
PK261n-1-1 90,PK261n-1-1 90,1031,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 11:50,NA
PK261n-1-2 90,PK261n-1-2 90,1032,./Methods/Method-GC_2ml_Overpressure.met,12/22/2021 11:52,NA
PK261n-1-3A 90,PK261n-1-3A 90,1033,./Methods/Method-GC_2ml_Overpressure.met,NA,NA
PK261n-1-3B 90,PK261n-1-3B 90,1034,./Methods/Method-GC_2ml_Overpressure.met,NA,NA
PK261n-1-3C 90,PK261n-1-3C 90,1035,./Methods/Method-GC_2ml_Overpressure.met,NA,NA
PK261n-1-4 90,PK261n-1-4 90,1036,./Methods/Method-GC_2ml_Overpressure.met,NA,NA
N2 30,N2 30,1037,./Methods/Method-GC_2ml_Overpressure.met,NA,NA
Std 30,Std 30,1038,./Methods/Method-GC_2ml_Overpressure.met,NA,NA
N2 90,N2 90,1039,./Methods/Method-GC_2ml_Overpressure.met,NA,NA
