ID,name,position,method,timestamp,comment
1,SG1,1001,./Methods/Method-GC_2ml_Overpressure.met,,NA
2,SG2,1002,./Methods/Method-GC_2ml_Overpressure.met,,NA
3,SG3,1003,./Methods/Method-GC_2ml_Overpressure.met,,NA
4,SG4,1004,./Methods/Method-GC_2ml_Overpressure.met,,NA
5,SG5,1005,./Methods/Method-GC_2ml_Overpressure.met,,NA
6,SG6,1006,./Methods/Method-GC_2ml_Overpressure.met,,NA
7,SG7,1007,./Methods/Method-GC_2ml_Overpressure.met,,NA
8,SG8,1008,./Methods/Method-GC_2ml_Overpressure.met,,NA
9,SG9,1009,./Methods/Method-GC_2ml_Overpressure.met,,NA
10,SG10,1010,./Methods/Method-GC_2ml_Overpressure.met,,NA
,,,,,
