"ID","name","position","method","timestamp","comment"
NA,"RoomAir",NA,"./Methods/Method-GC_2ml_RoomAir.met","2022-01-10 09:20:48",NA
NA,"N2-Normal-1",1001,"./Methods/Method-GC_2ml_Overpressure.met","2022-01-10 09:32:58",NA
NA,"N2-Normal-2",1002,"./Methods/Method-GC_2ml_Overpressure.met","2022-01-10 09:45:07",NA
NA,"N2-Normal-3",1003,"./Methods/Method-GC_2ml_Overpressure.met","2022-01-10 09:57:19",NA
NA,"N2-FastXYZ-1",1004,"./Methods/Method-GC_2ml_Overpressure_FastXYZ.met","2022-01-10 10:08:22",NA
NA,"N2-FastXYZ-2",1005,"./Methods/Method-GC_2ml_Overpressure_FastXYZ.met","2022-01-10 10:19:28",NA
NA,"N2-FastXYZ-3",1006,"./Methods/Method-GC_2ml_Overpressure_FastXYZ.met","2022-01-10 10:30:33",NA
NA,"N2-SlowE-1",1007,"./Methods/Method-GC_2ml_Overpressure_SlowE.met","2022-01-10 10:38:06",NA
NA,"N2-SlowE-1",1008,"./Methods/Method-GC_2ml_Overpressure_SlowE.met","2022-01-10 10:42:26",NA
NA,"N2-SlowE-1",1009,"./Methods/Method-GC_2ml_Overpressure_SlowE.met",NA,NA
NA,"N2-NoMix-1",1010,"./Methods/Method-GC_2ml_Overpressure_NoMix.met",NA,NA
NA,"N2-NoMix-1",1011,"./Methods/Method-GC_2ml_Overpressure_NoMix.met",NA,NA
NA,"N2-NoMix-1",1012,"./Methods/Method-GC_2ml_Overpressure_NoMix.met",NA,NA
