"ID","name","position","method","timestamp","comment"
"STD-L",NA,1001,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 16:07:24",NA
"CH133f-1-1 90 1:40",NA,1002,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 16:23:03",NA
"WA1013n-1-1 90 1:40",NA,1003,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 16:38:42",NA
"PK261n-1-1 30 1:20",NA,1004,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 16:54:22",NA
"PK261n-1-1 90 1:20",NA,1005,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 17:09:59",NA
"PK261n-1-2 90 1:20",NA,1006,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 17:25:40",NA
"HK35n-1-2 30 1:20",NA,1007,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 17:41:19",NA
"WT44n-1-2 90 1:20",NA,1008,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 17:57:01",NA
"WT43n-1-2 90 1:20",NA,1009,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 18:12:44",NA
"WT43f-1-2 90 1:20",NA,1010,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 18:28:26",NA
"STD-L",NA,1011,"./Methods/Method-GC_2ml_Overpressure.met","2021-12-29 18:44:10",NA
