Instrument Coordinator v.0.1
by Richard Marinos, 2021
GNU GPL v.3.0
_____________________________
BAK 2021-08-06 16:46:36 :  Sequencing backend online.
BAK 2021-08-06 16:46:37 :  Still here
GUI 2021-08-06 16:46:37 :  Verbose logging off.
GUI 2021-08-06 16:46:37 :  Stopped
BAK 2021-08-06 16:46:38 :  Still here
GUI 2021-08-06 16:46:38 :  Stopped
BAK 2021-08-06 16:46:39 :  Still here
BAK 2021-08-06 16:46:40 :  Still here
BAK 2021-08-06 16:46:41 :  Still here
BAK 2021-08-06 16:46:42 :  Still here
BAK 2021-08-06 16:46:43 :  Still here
GUI 2021-08-06 16:46:43 :  Start run.
BAK 2021-08-06 16:46:44 :  Still here
GUI 2021-08-06 16:46:44 :  Running
GUI 2021-08-06 16:46:52 :  Exit
