command, argument, x, y, z, comment
BACKHOME,,0,400,0,this lets you move the head out of the way for easy access to samples
ABOVEDILUTION,,118.5,25.5,0,this hovers the needle over the dilution gas port
DILUTION,,118.3,25.5,25,puts needle in dilution gas septum
ABOVEGCINJECTION,,69.5,25.5,0,shimadzu injeciton port
GCINJECTION,,69.5,25.5,29,shimadzu injeciton port
PICARROINJECTION,,0,0,0,picarro injection port
CARRIERINJECTION,,0,0,0,carrier gas stream injection port
SAMPLE,0,0,500,0,dummy sample number for testing
SAMPLE,1001,45,156,80,
SAMPLE,1002,67.36,156,80,
SAMPLE,1003,89.72,156,80,
SAMPLE,1004,112.08,156,80,
SAMPLE,1005,134.44,156,80,
SAMPLE,1006,156.8,156,80,
SAMPLE,1007,179.16,156,80,
SAMPLE,1008,201.52,156,80,
SAMPLE,1009,223.88,156,80,
SAMPLE,1010,246.24,156,80,
SAMPLE,1011,268.6,156,80,
SAMPLE,1012,290.96,156,80,
SAMPLE,1013,45,178.43,80,
SAMPLE,1014,67.36,178.43,80,
SAMPLE,1015,89.72,178.43,80,
SAMPLE,1016,112.08,178.43,80,
SAMPLE,1017,134.44,178.43,80,
SAMPLE,1018,156.8,178.43,80,
SAMPLE,1019,179.16,178.43,80,
SAMPLE,1020,201.52,178.43,80,
SAMPLE,1021,223.88,178.43,80,
SAMPLE,1022,246.24,178.43,80,
SAMPLE,1023,268.6,178.43,80,
SAMPLE,1024,290.96,178.43,80,
SAMPLE,1025,45,200.86,80,
SAMPLE,1026,67.36,200.86,80,
SAMPLE,1027,89.72,200.86,80,
SAMPLE,1028,112.08,200.86,80,
SAMPLE,1029,134.44,200.86,80,
SAMPLE,1030,156.8,200.86,80,
SAMPLE,1031,179.16,200.86,80,
SAMPLE,1032,201.52,200.86,80,
SAMPLE,1033,223.88,200.86,80,
SAMPLE,1034,246.24,200.86,80,
SAMPLE,1035,268.6,200.86,80,
SAMPLE,1036,290.96,200.86,80,
SAMPLE,1037,45,223.29,80,
SAMPLE,1038,67.36,223.29,80,
SAMPLE,1039,89.72,223.29,80,
SAMPLE,1040,112.08,223.29,80,
SAMPLE,1041,134.44,223.29,80,
SAMPLE,1042,156.8,223.29,80,
SAMPLE,1043,179.16,223.29,80,
SAMPLE,1044,201.52,223.29,80,
SAMPLE,1045,223.88,223.29,80,
SAMPLE,1046,246.24,223.29,80,
SAMPLE,1047,268.6,223.29,80,
SAMPLE,1048,290.96,223.29,80,
