command, argument, x, y, z, comment
BACKHOME,,0,400,0,this lets you move the head out of the way for easy access to samples
ABOVEDILUTION,,118.5,25.5,0,this hovers the needle over the dilution gas port
DILUTION,,118.3,25.5,25,puts needle in dilution gas septum
ABOVEGCINJECTION,,69.5,25.5,0,shimadzu injeciton port
GCINJECTION,,69.5,25.5,29,shimadzu injeciton port
PICARROINJECTION,,0,0,0,picarro injection port
CARRIERINJECTION,,0,0,0,carrier gas stream injection port
SAMPLE,0,0,500,0,dummy sample number for testing
SAMPLE,1001,8,129,65,
SAMPLE,1002,30.1,129,65,
SAMPLE,1003,52.2,129,65,
SAMPLE,1004,74.3,129,65,
SAMPLE,1005,96.4,129,65,
SAMPLE,1006,118.5,129,65,
SAMPLE,1007,140.6,129,65,
SAMPLE,1008,162.7,129,65,
SAMPLE,1009,184.8,129,65,
SAMPLE,1010,206.9,129,65,
SAMPLE,1011,229,129,65,
SAMPLE,1012,251.1,129,65,
SAMPLE,1013,8,151.1,65,
SAMPLE,1014,30.1,151.1,65,
SAMPLE,1015,52.2,151.1,65,
SAMPLE,1016,74.3,151.1,65,
SAMPLE,1017,96.4,151.1,65,
SAMPLE,1018,118.5,151.1,65,
SAMPLE,1019,140.6,151.1,65,
SAMPLE,1020,162.7,151.1,65,
SAMPLE,1021,184.8,151.1,65,
SAMPLE,1022,206.9,151.1,65,
SAMPLE,1023,229,151.1,65,
SAMPLE,1024,251.1,151.1,65,
SAMPLE,1025,8,173.2,65,
SAMPLE,1026,30.1,173.2,65,
SAMPLE,1027,52.2,173.2,65,
SAMPLE,1028,74.3,173.2,65,
SAMPLE,1029,96.4,173.2,65,
SAMPLE,1030,118.5,173.2,65,
SAMPLE,1031,140.6,173.2,65,
SAMPLE,1032,162.7,173.2,65,
SAMPLE,1033,184.8,173.2,65,
SAMPLE,1034,206.9,173.2,65,
SAMPLE,1035,229,173.2,65,
SAMPLE,1036,251.1,173.2,65,
SAMPLE,1037,8,195.3,65,
SAMPLE,1038,30.1,195.3,65,
SAMPLE,1039,52.2,195.3,65,
SAMPLE,1040,74.3,195.3,65,
SAMPLE,1041,96.4,195.3,65,
SAMPLE,1042,118.5,195.3,65,
SAMPLE,1043,140.6,195.3,65,
SAMPLE,1044,162.7,195.3,65,
SAMPLE,1045,184.8,195.3,65,
SAMPLE,1046,206.9,195.3,65,
SAMPLE,1047,229,195.3,65,
SAMPLE,1048,251.1,195.3,65,
