command, argument, x, y, z, comment
BACKHOME,,0,500,0,this lets you move the head out of the way for easy access to samples
ABOVEDILUTION,,15,25,0,this hovers the needle over the dilution gas port
DILUTION,,0,0,3,puts needle in dilution gas septum
GCINJECTION,,10,0,10,shimadzu injeciton port
PICARROINJECTION,,20,0,10,picarro injection port
CARRIERINJECTION,,30,0,10,carrier gas stream injection port
SAMPLE,0,0,500,0,dummy sample number for testing
SAMPLE,1001,0,85,40,
SAMPLE,1002,22.5,85,40,
SAMPLE,1003,45,85,40,
SAMPLE,1004,67.5,85,40,
SAMPLE,1005,90,85,40,
SAMPLE,1006,112.5,85,40,
SAMPLE,1007,135,85,40,
SAMPLE,1008,157.5,85,40,
SAMPLE,1009,180,85,40,
SAMPLE,1010,202.5,85,40,
SAMPLE,1011,225,85,40,
SAMPLE,1012,247.5,85,40,
SAMPLE,1013,270,85,40,
SAMPLE,1014,292.5,85,40,
SAMPLE,1015,315,85,40,
SAMPLE,1016,337.5,85,40,
SAMPLE,1017,360,85,40,
SAMPLE,1018,382.5,85,40,
SAMPLE,1019,405,85,40,
SAMPLE,1020,427.5,85,40,
SAMPLE,1021,450,85,40,
SAMPLE,1022,472.5,85,40,
SAMPLE,1023,495,85,40,
SAMPLE,1024,517.5,85,40,
SAMPLE,1025,540,85,40,
SAMPLE,1026,562.5,85,40,
SAMPLE,1027,585,85,40,
SAMPLE,1028,607.5,85,40,
SAMPLE,1029,630,85,40,
SAMPLE,1030,652.5,85,40,
SAMPLE,1031,675,85,40,
SAMPLE,1032,697.5,85,40,
SAMPLE,1033,720,85,40,
SAMPLE,1034,742.5,85,40,
SAMPLE,1035,765,85,40,
SAMPLE,1036,787.5,85,40,
SAMPLE,1037,810,85,40,
SAMPLE,1038,832.5,85,40,
SAMPLE,1039,855,85,40,
SAMPLE,1040,877.5,85,40,
SAMPLE,1041,900,85,40,
SAMPLE,1042,922.5,85,40,
SAMPLE,1043,945,85,40,
SAMPLE,1044,967.5,85,40,
SAMPLE,1045,990,85,40,
SAMPLE,1046,1012.5,85,40,
SAMPLE,1047,1035,85,40,
SAMPLE,1048,1057.5,85,40,
