Instrument Coordinator v.0.1
by Richard Marinos, 2021
GNU GPL v.3.0
_____________________________
BAK 2022-02-24 17:06:08 :  Initializing serial connections: AS
BAK 2022-02-24 17:06:09 :  Sequencing backend online.
GUI 2022-02-24 17:06:10 :  Verbose logging off.
GUI 2022-02-24 17:06:10 :  Stopped
GUI 2022-02-24 17:06:12 :  Stopped
GUI 2022-02-24 17:06:16 :  New batch table loaded at  C:/Users/Public/InstrumentCoordinator/Batches/FME_IsotopesandJars_2-24.csv
GUI 2022-02-24 17:06:17 :  Stopped
GUI 2022-02-24 17:06:19 :  Stopped
GUI 2022-02-24 17:07:25 :  Start run.
GUI 2022-02-24 17:07:26 :  Running
BAK 2022-02-24 17:07:28 :  Running row #1 (ID:STD1 Name:STD1) in position1001 by method ./Methods/Method-GC_2ml_Overpressure.met
BAK 2022-02-24 17:08:34 :  Row # 1 complete.
BAK 2022-02-24 17:08:37 :  Running row #2 (ID:N1.101 Name:N1.101) in position1002 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 17:08:38 :  Running
BAK 2022-02-24 17:29:43 :  Row # 2 complete.
BAK 2022-02-24 17:29:46 :  Running row #3 (ID:N1.102 Name:N1.102) in position1003 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 17:29:47 :  Running
BAK 2022-02-24 17:50:54 :  Row # 3 complete.
BAK 2022-02-24 17:50:57 :  Running row #4 (ID:N1.103 Name:N1.103) in position1004 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 17:50:57 :  Running
BAK 2022-02-24 18:12:05 :  Row # 4 complete.
BAK 2022-02-24 18:12:08 :  Running row #5 (ID:N401 Name:N401) in position1005 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 18:12:09 :  Running
BAK 2022-02-24 18:33:17 :  Row # 5 complete.
BAK 2022-02-24 18:33:20 :  Running row #6 (ID:N402 Name:N402) in position1006 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 18:33:21 :  Running
BAK 2022-02-24 18:54:31 :  Row # 6 complete.
BAK 2022-02-24 18:54:34 :  Running row #7 (ID:N403 Name:N403) in position1007 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 18:54:35 :  Running
BAK 2022-02-24 19:15:47 :  Row # 7 complete.
BAK 2022-02-24 19:15:50 :  Running row #8 (ID:N2001 Name:N2001) in position1008 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 19:15:50 :  Running
BAK 2022-02-24 19:37:02 :  Row # 8 complete.
BAK 2022-02-24 19:37:05 :  Running row #9 (ID:N2002 Name:N2002) in position1009 by method ./Methods/Method-GC_2ml_Overpressure.met
GUI 2022-02-24 19:37:06 :  Running
